File; Clique; Time (sec)
brock200_1.clq; 21; 11.330000
brock200_2.clq; 10; 3.045000
brock200_3.clq; 14; 5.235000
brock200_4.clq; 16; 6.671000
brock400_1.clq; 24; 55.119000
brock400_2.clq; 24; 56.124000
brock400_3.clq; 24; 54.177000
brock400_4.clq; 25; 62.430000
C125.9.clq; 34; 30.630000
gen200_p0.9_44.clq; 39; 63.399000
gen200_p0.9_55.clq; 45; 38.993000
hamming8-4.clq; 16; 9.074000
johnson16-2-4.clq; 8; 2.279000
johnson8-2-4.clq; 4; 0.055000
keller4.clq; 11; 4.166000
MANN_a27.clq; 126; 89.111000
MANN_a9.clq; 16; 1.054000
p_hat1000-1.clq; 10; 14.169000
p_hat1000-2.clq; 46; 176.574000
p_hat1500-1.clq; 11; 51.780000
p_hat300-3.clq; 34; 19.400000
p_hat500-3.clq; 49; 103.368000
san1000.clq; 10; 85.359000
sanr200_0.9.clq; 41; 14.620000
sanr400_0.7.clq; 20; 18.996000
