File; Clique; Time (sec)
brock200_1.clq; 21; 3.877000
brock200_2.clq; 12; 0.018000
brock200_3.clq; 15; 0.091000
brock200_4.clq; 17; 0.514000
C125.9.clq; 34; 0.950000
gen200_p0.9_44.clq; 44; 46.568000
gen200_p0.9_55.clq; 55; 4.629000
hamming8-4.clq; 16; 0.194000
johnson16-2-4.clq; 8; 0.716000
johnson8-2-4.clq; 4; 0.000000
keller4.clq; 11; 0.055000
MANN_a27.clq; 126; 10.897000
MANN_a9.clq; 16; 0.000000
p_hat1000-1.clq; 10; 1.179000
p_hat1500-1.clq; 12; 11.140000
p_hat300-3.clq; 36; 54.723000
san1000.clq; 15; 8.406000
sanr200_0.9.clq; 42; 1012.112000
